feature,shap_value,feature_value
pay_2,0.11094725931347711,2
pay_5,0.07170121532078604,2
pay_1,-0.048174465902362795,1
pay_3,0.02949394749384476,2
pay_6,-0.028163025487533373,0
limit_bal,0.025912249013851977,30000
bill_amt1,-0.013826375028530315,24307
pay_amt5,-0.013145862209678677,1000
pay_amt6,0.007678782279473786,3300
pay_amt3,-0.0064934577877692875,1028
pay_4,0.003676099438777653,2
age,-0.0024162719341312196,28
bill_amt6,-0.0021164637853972193,25425
education,0.001509886310021403,1
pay_amt2,0.001260247995200018,3500
bill_amt5,0.0008711184123330583,24972
pay_amt1,0.0007129062448900078,0
bill_amt4,-0.0005116352539029384,27016
pay_amt4,-0.0003965061766848153,0
marriage,-0.00032097609056248763,2
bill_amt3,0.0001646362176546099,26733
bill_amt2,2.73957702447539e-05,23618
sex,0.0,2
